Name,Symbol,Exchange,Sector,Industry
Jiangsu Youli Investment Holding,584,심천,기초 소재,화학 제품 – 플라스틱과 고무
ShanXi Coking,600740,상하이,기초 소재,철과 철강
Yn Germanium A,2428,심천,기초 소재,금속 광업
Yueyang Forest & Paper,600963,상하이,기초 소재,종이와 종이 제품
Tongling Jingd,600577,상하이,기초 소재,다종 조립 제품
Cnnc Hua Yuan A,2145,심천,기초 소재,화학제조
Lecron Energy Saving Materials,300343,심천,기초 소재,화학제조
Swan Fiber,687,심천,기초 소재,화학 제품 – 플라스틱과 고무
Zhejiang Jiemei Electronic,2859,심천,기초 소재,조립식 플라스틱과 고무
Advanced A,969,심천,기초 소재,금속 광업
AVIC Heavy Machinery,600765,상하이,기초 소재,다종 조립 제품
Hubei Golden Ring,615,심천,기초 소재,화학 제품 – 플라스틱과 고무
Huafon Spandex A,2064,심천,기초 소재,화학 제품 – 플라스틱과 고무
Stanley Fertlizr A,2588,심천,기초 소재,화학제조
Henan Zhongfu Industrial,600595,상하이,기초 소재,금속 광업
Yoke Technology A,2409,심천,기초 소재,화학제조
Yongxing Special Stainless Steel,2756,심천,기초 소재,다종 조립 제품
Shengda Mining A,603,심천,기초 소재,금속 광업
Guangdong Silvere Sci and Tech,300221,심천,기초 소재,화학 제품 – 플라스틱과 고무
Shuangxing Matrl A,2585,심천,기초 소재,조립식 플라스틱과 고무
Yongji Printing,603058,상하이,기초 소재,컨테이너와 포장
Zy Tungsten A,2378,심천,기초 소재,금속 광업
Jiangsu Yabang Dyestuff,603188,상하이,기초 소재,화학제조
Brother Enterpri A,2562,심천,기초 소재,화학제조
Henan Mingtai Al.Industrial,601677,상하이,기초 소재,금속 광업
Lopsking Alum A,2333,심천,기초 소재,금속 광업
Shandong Bohui Paper,600966,상하이,기초 소재,종이와 종이 제품
Yongtai Tech A,2326,심천,기초 소재,화학제조
Fujian Yuanli Active Carbon,300174,심천,기초 소재,화학제조
Jiangsu Wuzhong,600200,상하이,기초 소재,금속 광업
Henan Yuguang Gold & Lead,600531,상하이,기초 소재,금속 광업
Yantai Tayho A,2254,심천,기초 소재,화학 제품 – 플라스틱과 고무
Tongyu Heavy Industry,300185,심천,기초 소재,다종 조립 제품
Zy Special Steel A,2423,심천,기초 소재,다종 조립 제품
Anhui Guangxin Agrochemical,603599,상하이,기초 소재,화학제조
Fushun Special Steel,600399,상하이,기초 소재,철과 철강
Anhui Jingcheng Copper Share Co Ltd,2171,심천,기초 소재,금속 광업
Kunshan Kersen Science,603626,상하이,기초 소재,철과 철강
Noposion Agro A,2215,심천,기초 소재,화학제조
Ideal Group A,626,심천,기초 소재,조립식 플라스틱과 고무
Shanghai Zijiang,600210,상하이,기초 소재,컨테이너와 포장
NBTM New Materials,600114,상하이,기초 소재,다종 조립 제품
Goody Science Tech,2694,심천,기초 소재,조립식 플라스틱과 고무
Boai NKY Pharmaceuticals Ltd,300109,심천,기초 소재,화학제조
Ye Chiu Metal Recycling,601388,상하이,기초 소재,금속 광업
Skshu Paint,603737,상하이,기초 소재,화학제조
Guangdong Ronsen A,2141,심천,기초 소재,다종 조립 제품
Shandong Huatai Paper,600308,상하이,기초 소재,종이와 종이 제품
Guangdong Hotata A,603848,상하이,기초 소재,조립식 플라스틱과 고무
Shenzhen Sunxing Light Alloys,603978,상하이,기초 소재,금속 광업
Kee Ever Bright Decorative,2464,심천,기초 소재,조립식 플라스틱과 고무
Tibet Mineral A,762,심천,기초 소재,금속 광업
Xian Sunresin New Materials Co Ltd,300487,심천,기초 소재,화학 제품 – 플라스틱과 고무
Tungsten A,657,심천,기초 소재,화학제조
Sd Haihua A,822,심천,기초 소재,화학제조
Xinjiang Tianye,600075,상하이,기초 소재,화학제조
Teda A,652,심천,기초 소재,화학제조
Kingsignal Tech,300252,심천,기초 소재,다종 조립 제품
Shanghai Sinyang Semiconductor,300236,심천,기초 소재,화학제조
Rastar Group,300043,심천,기초 소재,화학 제품 – 플라스틱과 고무
Zhuzhou Times Tech,600458,상하이,기초 소재,조립식 플라스틱과 고무
Huaxicun A,936,심천,기초 소재,화학 제품 – 플라스틱과 고무
ShengXing Group,2752,심천,기초 소재,컨테이너와 포장
Jiangxi Black Cat Carbon Black,2068,심천,기초 소재,화학제조
Sc Nitrocell A,2246,심천,기초 소재,화학 제품 – 플라스틱과 고무
Gem-Year Industrial,601002,상하이,기초 소재,다종 조립 제품
Yuancheng Cable A,2692,심천,기초 소재,다종 조립 제품
Yingliu Electr,603308,상하이,기초 소재,다종 조립 제품
Ningbo Boway Alloy Material,601137,상하이,기초 소재,금속 광업
Huifeng Agrochem A,2496,심천,기초 소재,화학제조
Jingxing Paper A,2067,심천,기초 소재,종이와 종이 제품
Shuangliang Eco-Energy,600481,상하이,기초 소재,화학제조
Fujian Qingshan Paper,600103,상하이,기초 소재,컨테이너와 포장
Shanghai 3F,600636,상하이,기초 소재,화학제조
Huludao Zinc A,751,심천,기초 소재,금속 광업
Wanwei Hi-tech Industry,600063,상하이,기초 소재,화학 제품 – 플라스틱과 고무
Guangdong Guanghua Sci-Tech,2741,심천,기초 소재,화학제조
Fujian Superpipe,300198,심천,기초 소재,조립식 플라스틱과 고무
Qingdao Gon Technology Co Ltd,2768,심천,기초 소재,화학 제품 – 플라스틱과 고무
Hailide A,2206,심천,기초 소재,화학 제품 – 플라스틱과 고무
Dazhou Xingye,600603,상하이,기초 소재,금속 광업
Ingenious Carbon A,511,심천,기초 소재,화학제조
Der International Home Furnish A,2631,심천,기초 소재,임업과 목재 제품
Gd Hongtu Tech A,2101,심천,기초 소재,다종 조립 제품
Hengbao A,2104,심천,기초 소재,조립식 플라스틱과 고무
Zhejiang Rongsheng,603165,상하이,기초 소재,컨테이너와 포장
Yinbang Clad Material,300337,심천,기초 소재,금속 광업
Yangmei Chemical,600691,상하이,기초 소재,화학제조
Shandong Dawn,2838,심천,기초 소재,화학 제품 – 플라스틱과 고무
Qingdao Citymedia,600229,상하이,기초 소재,화학제조
Guangdong Mingzhu,600382,상하이,기초 소재,다종 조립 제품
Yunnan Salt Chem A,2053,심천,기초 소재,화학제조
Zhejiang Wansheng,603010,상하이,기초 소재,화학제조
Start Group,600734,상하이,기초 소재,다종 조립 제품
Fujian Acetron New Materials,300706,심천,기초 소재,금속 광업
Sierte Fertiliz A,2538,심천,기초 소재,화학제조
Jiangnan Chemica A,2226,심천,기초 소재,화학제조
Changsha DIALINE New Material,300700,심천,기초 소재,다종 조립 제품
Jiangsu Dewei Materials,300325,심천,기초 소재,다종 조립 제품
Jingshan A,821,심천,기초 소재,컨테이너와 포장
Guangdong Guanhao,600433,상하이,기초 소재,종이와 종이 제품
Orient Zirconic A,2167,심천,기초 소재,금속 광업
Shindoo Chemical A,2539,심천,기초 소재,화학제조
Xinke Material,600255,상하이,기초 소재,금속 광업
Baosheng,600973,상하이,기초 소재,다종 조립 제품
Truking Tech,300358,심천,기초 소재,컨테이너와 포장
Great Southeast A,2263,심천,기초 소재,화학 제품 – 플라스틱과 고무
Nantong Jiangshan,600389,상하이,기초 소재,화학제조
Juli Sling A,2342,심천,기초 소재,다종 조립 제품
Qh Gelatin A,606,심천,기초 소재,화학제조
Sinomine Resource Exploration,2738,심천,기초 소재,비금속 광업
Longxing Chemical Stock Co Ltd,2442,심천,기초 소재,화학제조
Silvery Dragon Prestressed Materials,603969,상하이,기초 소재,철과 철강
JCHX Mining Management,603979,상하이,기초 소재,금속 광업
Tong Hua Shuang Long Chemical,300108,심천,기초 소재,화학제조
Hailir Pesticides,603639,상하이,기초 소재,화학제조
Baocheng Inves,600892,상하이,기초 소재,다종 조립 제품
Gansu Dayu Water saving Group,300021,심천,기초 소재,조립식 플라스틱과 고무
Jinlongyu A,2882,심천,기초 소재,다종 조립 제품
Zhejiang Daoming Optics Chem A,2632,심천,기초 소재,조립식 플라스틱과 고무
Jiangmen Kanhoo Industry,300340,심천,기초 소재,화학제조
Shanghai Material Trading B,900927,상하이,기초 소재,다종 조립 제품
Shanghai Material Trading A,600822,상하이,기초 소재,다종 조립 제품
Nanjing Quanxin Cable Tech,300447,심천,기초 소재,다종 조립 제품
Sufa Tech A,777,심천,기초 소재,다종 조립 제품
Shengli A,407,심천,기초 소재,화학제조
Xining Special Steel,600117,상하이,기초 소재,철과 철강
Shenzhen Esun Display,2751,심천,기초 소재,다종 조립 제품
Danhua Chemical Tech A,600844,상하이,기초 소재,화학제조
Danhua Chemical Tech B,900921,상하이,기초 소재,화학제조
Shandong Yanggu Huatai Chemical,300121,심천,기초 소재,화학제조
Aba Chemicals,300261,심천,기초 소재,화학제조
Shanghai Kinlita Chemical Co,300225,심천,기초 소재,화학제조
Sanlux Rubber A,2224,심천,기초 소재,조립식 플라스틱과 고무
Tangshan Sunfar Silicon,603938,상하이,기초 소재,화학제조
Shanghai Kangda New Materials A,2669,심천,기초 소재,화학제조
China Kings Resources,603505,상하이,기초 소재,금속 광업
Sichuan Guoguang Agrochemical,2749,심천,기초 소재,화학제조
Sichuan Goldstone Equipment,300434,심천,기초 소재,조립식 플라스틱과 고무
Fspg Hi-Tech A,973,심천,기초 소재,화학 제품 – 플라스틱과 고무
Lp Zinc & Elec A,2114,심천,기초 소재,금속 광업
Xinxiang Chem A,949,심천,기초 소재,화학 제품 – 플라스틱과 고무
Hangzhou Cable,603618,상하이,기초 소재,다종 조립 제품
Hexing Packaging A,2228,심천,기초 소재,컨테이너와 포장
Xiamen Jihong Package Tech,2803,심천,기초 소재,컨테이너와 포장
Hebi Janxi Chemical,300107,심천,기초 소재,화학제조
Fujian Kuncai Material Tech,603826,상하이,기초 소재,화학제조
Zhuhai Zhongfu A,659,심천,기초 소재,컨테이너와 포장
Changqing Chem A,2391,심천,기초 소재,화학제조
Minfa Aluminium A,2578,심천,기초 소재,금속 광업
Sino-Platinum Metals,600459,상하이,기초 소재,다종 조립 제품
Yunhai Metals A,2182,심천,기초 소재,금속 광업
Huaze Cobalt A,693,심천,기초 소재,다종 조립 제품
Xinjiang Joinworld,600888,상하이,기초 소재,다종 조립 제품
Batian Ecotypic A,2170,심천,기초 소재,화학제조
Xinghua Chem A,2109,심천,기초 소재,화학제조
Zhongchao Cable A,2471,심천,기초 소재,다종 조립 제품
Hangzhou Zhongya Machinery,300512,심천,기초 소재,컨테이너와 포장
Jiangsu Jiangnan Fiber,600527,상하이,기초 소재,화학 제품 – 플라스틱과 고무
Daye Steel A,708,심천,기초 소재,철과 철강
Shenyang Chem A,698,심천,기초 소재,화학제조
Huilong Agri Pro A,2556,심천,기초 소재,화학제조
Hubei Huitian New Materials,300041,심천,기초 소재,화학제조
Yibin Tianyuan Group Co Ltd,2386,심천,기초 소재,화학 제품 – 플라스틱과 고무
Luoyang Bearing A,2046,심천,기초 소재,다종 조립 제품
Yonggao A,2641,심천,기초 소재,조립식 플라스틱과 고무
Shenzhen Qixin A,2781,심천,기초 소재,컨테이너와 포장
Zhejiang XCC,603667,상하이,기초 소재,다종 조립 제품
Wuxi Smart Auto-control,2877,심천,기초 소재,다종 조립 제품
Jiangsu Lidao New Material,603937,상하이,기초 소재,금속 광업
Sc Meifeng A,731,심천,기초 소재,화학제조
Fj Nanping Sun A,2300,심천,기초 소재,다종 조립 제품
Shanghai Hongda Mining,600532,상하이,기초 소재,금속 광업
Hebei Sitong New Metal,300428,심천,기초 소재,금속 광업
Sichuan Sunny Seal,300470,심천,기초 소재,조립식 플라스틱과 고무
Liaoning Oxiranchem Inc,300082,심천,기초 소재,화학제조
Anhui Shenjian New Materials Co Ltd,2361,심천,기초 소재,화학 제품 – 플라스틱과 고무
Shanghai Anoky Group,300067,심천,기초 소재,화학제조
Jiangsu Nata Opto Electr Material,300346,심천,기초 소재,화학제조
Huachang Chem A,2274,심천,기초 소재,화학제조
Xiamen Anne Corp Ltd,2235,심천,기초 소재,종이와 종이 제품
Shandong Sito Bio,300583,심천,기초 소재,화학제조
Suli,603585,상하이,기초 소재,화학제조
Zhejiang Xiantong,603239,상하이,기초 소재,조립식 플라스틱과 고무
Zhejiang Huangma Tech,603181,상하이,기초 소재,화학제조
Jiangsu Alcha A,2160,심천,기초 소재,다종 조립 제품
Gpro Titanium A,545,심천,기초 소재,화학제조
Jiangsu Huahong Technology Co Ltd,2645,심천,기초 소재,컨테이너와 포장
Dongguan Eontec,300328,심천,기초 소재,금속 광업
Loften Environmental A,2379,심천,기초 소재,금속 광업
Limin Chemical Co Ltd,2734,심천,기초 소재,화학제조
Jiangsu Zhengdan Chemical,300641,심천,기초 소재,화학제조
Baichuan Chem A,2455,심천,기초 소재,화학제조
Huangshan Novel A,2014,심천,기초 소재,컨테이너와 포장
HeBei Jinniu Chemical,600722,상하이,기초 소재,화학 제품 – 플라스틱과 고무
Guangdong Xianglu Tungsten,2842,심천,기초 소재,화학제조
Guitang A,833,심천,기초 소재,종이와 종이 제품
Qifeng Material A,2521,심천,기초 소재,종이와 종이 제품
Zhejiang Changsheng A,300718,심천,기초 소재,다종 조립 제품
Shanxi Yongdong Chemistry,2753,심천,기초 소재,화학제조
Mould Plastic A,700,심천,기초 소재,조립식 플라스틱과 고무
Zhuzhou Smelter,600961,상하이,기초 소재,다종 조립 제품
Lantai Industrial,600328,상하이,기초 소재,화학제조
Jiangsu Aoyang Technology Ltd,2172,심천,기초 소재,화학 제품 – 플라스틱과 고무
Anhui Leimingkehua,600985,상하이,기초 소재,화학제조
Lonkey A,523,심천,기초 소재,화학제조
Chongqing Chuanyi Automation,603100,상하이,기초 소재,다종 조립 제품
Jinlu A,510,심천,기초 소재,화학 제품 – 플라스틱과 고무
Zhejiang Zhongxin Fluoride A,2915,심천,기초 소재,화학제조
Guizhou Jiulian A,2037,심천,기초 소재,화학제조
Lutianhua A,912,심천,기초 소재,화학제조
Hangzhou XZB Tech,603040,상하이,기초 소재,다종 조립 제품
Shanghai Baosteel Packaging,601968,상하이,기초 소재,컨테이너와 포장
Shandong Shida Shenghua Chemical,603026,상하이,기초 소재,화학제조
Zhongmin Energy,600163,상하이,기초 소재,종이와 종이 제품
Kaimeite Gases A,2549,심천,기초 소재,화학제조
Sichuan Western Resources,600139,상하이,기초 소재,금속 광업
Younglight A,635,심천,기초 소재,화학 제품 – 플라스틱과 고무
Nantong Acetic Acid Chemical,603968,상하이,기초 소재,화학제조
Suzhou Tianma Specialty Chem,2453,심천,기초 소재,화학제조
Yunnan Coal Energy,600792,상하이,기초 소재,철과 철강
Jiangyin Haida A,300320,심천,기초 소재,조립식 플라스틱과 고무
Guangdong Rongtai Industry,600589,상하이,기초 소재,화학제조
Shen Ma Industry,600810,상하이,기초 소재,화학 제품 – 플라스틱과 고무
Aishida Elec A,2403,심천,기초 소재,다종 조립 제품
Malion New Materials,300586,심천,기초 소재,화학제조
SVG Optronics,300331,심천,기초 소재,컨테이너와 포장
Ningbo Orient Wires and Cables,603606,상하이,기초 소재,다종 조립 제품
Luxin Packing A,2565,심천,기초 소재,컨테이너와 포장
Jiangyin Jianghua Micro,603078,상하이,기초 소재,화학제조
Zhongnongfa Seed,600313,상하이,기초 소재,화학제조
Zhejiang Zanyu Technology A,2637,심천,기초 소재,화학제조
Shantou Wanshun Package Material,300057,심천,기초 소재,금속 광업
Western Metal A,2149,심천,기초 소재,금속 광업
South Huiton A,920,심천,기초 소재,화학 제품 – 플라스틱과 고무
Guangdong Sky Dragon Printing Ink,300063,심천,기초 소재,화학제조
Asia Cuanon Tech Shanghai,603378,상하이,기초 소재,화학제조
Wanma Tech,300698,심천,기초 소재,다종 조립 제품
Rianlon,300596,심천,기초 소재,화학제조
Nanjing Huamai,603042,상하이,기초 소재,다종 조립 제품
Polymer Biochem A,2476,심천,기초 소재,화학제조
Puyang Huicheng Electronic Material,300481,심천,기초 소재,화학제조
Hubei Kailong Chemical,2783,심천,기초 소재,화학제조
Tianjin Motimo Membrane Tech,300334,심천,기초 소재,화학 제품 – 플라스틱과 고무
Jiangyin Electrical Alloy,300697,심천,기초 소재,다종 조립 제품
Suzhou Yangtze New Materials,2652,심천,기초 소재,컨테이너와 포장
Sichuan Em Tech,601208,상하이,기초 소재,조립식 플라스틱과 고무
Lily Group,603823,상하이,기초 소재,화학제조
Jinling Mining A,655,심천,기초 소재,금속 광업
Shandong Guangze Food,600882,상하이,기초 소재,금속 광업
Xinhui Meida A,782,심천,기초 소재,화학 제품 – 플라스틱과 고무
Shandong Donghong Pipe A,603856,상하이,기초 소재,조립식 플라스틱과 고무
Guangdong Redwall New Materials,2809,심천,기초 소재,화학제조
Zhejiang Kan A,2012,심천,기초 소재,종이와 종이 제품
Shandong Lubei Chemical,600727,상하이,기초 소재,화학제조
Sichuan Chuanhuan Tech,300547,심천,기초 소재,조립식 플라스틱과 고무
Ningbo Runhe A,300727,심천,기초 소재,화학제조
Guangdong Xiongsu,300599,심천,기초 소재,조립식 플라스틱과 고무
Changchun Gas,600333,상하이,기초 소재,철과 철강
Chengdu Guibao Science Tech,300019,심천,기초 소재,화학 제품 – 플라스틱과 고무
Zhejiang Jinghua Laser,603607,상하이,기초 소재,컨테이너와 포장
Xibei Bearing A,595,심천,기초 소재,다종 조립 제품
Zhejiang Huazheng New,603186,상하이,기초 소재,다종 조립 제품
Shentong Valve A,2438,심천,기초 소재,다종 조립 제품
Shenzhen King Explorer A,2917,심천,기초 소재,화학제조
Zj Dongliang A,2082,심천,기초 소재,다종 조립 제품
Yuexingchang A,819,심천,기초 소재,화학제조
Hangzhou Youngsun Equipment,603901,상하이,기초 소재,컨테이너와 포장
Xinjiang Xuefeng Sci-Tech,603227,상하이,기초 소재,화학제조
King-Strong New Material,300629,심천,기초 소재,금속 광업
Jiangsu Flag Chemical,300575,심천,기초 소재,화학제조
Jiangxi Guotai Industrial Explosive,603977,상하이,기초 소재,화학제조
Huasu Holdings Co Ltd,509,심천,기초 소재,조립식 플라스틱과 고무
Henan Qingshuiyuan Technology,300437,심천,기초 소재,화학제조
Lanfeng Chemical A,2513,심천,기초 소재,화학제조
Xt Electrochem A,2125,심천,기초 소재,화학제조
Gansu Ronghua Industry,600311,상하이,기초 소재,금과 은
Double Arrow A,2381,심천,기초 소재,조립식 플라스틱과 고무
